#begin document (story100.txt); part 000
story100.txt	tok_No	Token			POS			Coreference
story100.txt	0    	44                  	QC        	B-NP    			44,num                        	-     
story100.txt	0a   	వ                             	NN        	I-NP    			వ,avy                         	-     
story100.txt	1    	చదరంగం                          	NN        	B-NP    			చదరంగం,n                        	-     
story100.txt	2    	ఒలింపియాడ్                         	NN        	B-NP    			ఒలింపియాడ్,unk                     	-     
story100.txt	3    	కోసం                            	PSP       	I-NP    			కోసం,avy                        	-     
story100.txt	4    	జ్యోతి                           	NN        	B-NP    			జ్యోతి,n                         	-     
story100.txt	5    	రన్                            	NN        	B-NP    			రన్,n                          	-     
story100.txt	6    	ప్రారంభోత్సవం                       	NN        	B-NP    			ప్రారంభోత్సవం,n                     	-     
story100.txt	7    	సందర్భంగా                         	RB        	B-RBP   			సందర్భం,n                        	-     
story100.txt	8    	ప్రధాన                          	JJ        	B-NP    			ప్రధాన,adj                      	(2
story100.txt	9    	మంత్రి                           	NN        	I-NP    			మంత్రి,n                         	2)
story100.txt	10   	చేసిన                           	VM        	B-VGNF  			చెయ్యి,v                         	-     
story100.txt	11   	ప్రసంగానికి         	NN        	B-NP    			ప్రసంగం,n                        	-     
story100.txt	12   	తమిళ                           	NN        	B-NP    			తమిళం,n                         	-     
story100.txt	13   	అనువాదం                          	NN        	B-NP    			అనువాదం,n                        	-     
story100.txt	14   	.                   	SYM       	I-NP    			&dot;,punc                    	-     

story100.txt	0    	అంత                            	QF        	B-NP    			అంత,adj                        	-     
story100.txt	1    	ర్జాతీయ                          	NN        	I-NP    			ర్జాతీయ,n                        	-     
story100.txt	2    	చదరంగం                          	NN        	B-NP    			చదరంగం,n                        	-     
story100.txt	3    	ఒలింపియాడ్                         	NN        	B-NP    			ఒలింపియాడ్,unk                     	-     
story100.txt	4    	కు                             	PSP       	I-NP    			కు,avy                         	-     
story100.txt	5    	హాజ                            	NN        	B-NP    			హాజ,unk                        	-     
story100.txt	6    	ర                             	NN        	B-NP    			రం,n                           	-     
story100.txt	7    	ఇన                            	VM        	B-VGNF  			ఇనుడు,n                         	-     
story100.txt	8    	నా                             	PRP       	B-NP    			నేను,pn                         	(2)
story100.txt	9    	మంత్రివర్గ         	NN        	I-NP    			మంత్రివర్గం,n                      	-     
story100.txt	10   	స                             	NN        	B-NP    			స,n                           	-     
story100.txt	11   	హ                             	NN        	B-NP    			హ,avy                         	-     
story100.txt	12   	కారం                            	NN        	B-NP    			కారం,n                          	-     
story100.txt	13   	,                   	SYM       	I-NP    			&comma;,punc                  	-     
story100.txt	14   	అంత                            	QF        	B-NP    			అంత,adj                        	-     
story100.txt	15   	ర్జాతీయ                          	NN        	I-NP    			ర్జాతీయ,n                        	-     
story100.txt	16   	చదరంగ                          	NN        	B-NP    			చదరంగం,n                        	-     
story100.txt	17   	సమాఖ్య                          	NN        	B-NP    			సమాఖ్య,n                        	-     
story100.txt	18   	అధ్య                           	NN        	B-NP    			అధ్య,unk                       	-     
story100.txt	19   	క్షుడు                           	NN        	B-NP    			క్షుడు,unk                       	-     
story100.txt	20   	శ్రీ                            	NNP       	B-NP    			శ్రీ,n                          	-     
story100.txt	21   	ఆర్కడీ                          	NNP       	B-NP    			ఆర్కడీ,unk                      	-     
story100.txt	22   	డ్వోర్కోవిచ్         	NNP       	B-NP    			డ్వోర్కోవిచ్,unk                    	-     
story100.txt	23   	,                   	SYM       	I-NP    			&comma;,punc                  	-     
story100.txt	24   	వివిధ                           	JJ        	B-NP    			వివిధం,n                         	-     
story100.txt	25   	దేశాల                           	NN        	I-NP    			దేశం,n                          	-     
story100.txt	26   	కు                             	PSP       	B-BLK   			కు,avy                         	-     
story100.txt	27   	చెందిన                           	VM        	B-VGNF  			చెందు,v                          	-     
story100.txt	28   	అంబాసిడ                          	NN        	B-NP    			అంబాసిడ,unk                      	-     
story100.txt	29   	ర్లు                            	NN        	B-NP    			ర్లు,unk                        	-     
story100.txt	30   	,                   	SYM       	I-NP    			&comma;,punc                  	-     
story100.txt	31   	అధికారులు                         	NN        	B-NP    			అధికారి,n                        	-     
story100.txt	32   	,                   	SYM       	I-NP    			&comma;,punc                  	-     
story100.txt	33   	చదరంగం                          	NN        	B-NP    			చదరంగం,n                        	-     
story100.txt	34   	మ                             	NN        	B-NP    			మ,unk                         	-     
story100.txt	35   	రియు                            	NN        	B-NP    			రియు,unk                        	-     
story100.txt	36   	వివిధ                           	JJ        	B-NP    			వివిధం,n                         	-     
story100.txt	37   	క్రీడ                           	NN        	I-NP    			క్రీడ,n                         	-     
story100.txt	38   	ల                             	RP        	B-BLK   			ల,avy                         	-     
story100.txt	39   	ప్ర                            	NN        	B-NP    			ప్ర,avy                        	-     
story100.txt	40   	తినిధులు                          	VM        	B-VGF   			తినిధులు,unk                      	-     
story100.txt	41   	,                   	SYM       	I-VGF   			&comma;,punc                  	-     
story100.txt	42   	రాష్ట్ర                          	NN        	B-NP    			రాష్ట్రం,n                        	-     
story100.txt	43   	ప్ర                            	NN        	B-NP    			ప్ర,avy                        	-     
story100.txt	44   	భుత్వ                           	NN        	B-NP    			భుత్వ,unk                       	-     
story100.txt	45   	ప్ర                            	NN        	B-NP    			ప్ర,avy                        	-     
story100.txt	46   	తినిధులు                          	VM        	B-VGF   			తినిధులు,unk                      	-     
story100.txt	47   	,                   	SYM       	I-VGF   			&comma;,punc                  	-     
story100.txt	48   	ఇత                            	PRP       	B-NP    			ఇత,unk                        	-     
story100.txt	49   	ర                             	NN        	B-NP    			రం,n                           	-     
story100.txt	50   	శాఖ                            	NN        	B-NP    			శాఖ,n                          	-     
story100.txt	51   	ల                             	NN        	B-NP    			ల,avy                         	-     
story100.txt	52   	అధికారులు                         	NN        	B-NP    			అధికారి,n                        	-     
story100.txt	53   	,                   	SYM       	I-NP    			&comma;,punc                  	-     
story100.txt	54   	చదరంగం                          	NN        	B-NP    			చదరంగం,n                        	-     
story100.txt	55   	ఒలింపియాడ్                         	NN        	B-NP    			ఒలింపియాడ్,unk                     	-     
story100.txt	56   	క                             	NN        	B-NP    			క్,avy                         	-     
story100.txt	57   	మిటీ                            	NN        	B-NP    			మిటీ,unk                        	-     
story100.txt	58   	స                             	NN        	B-NP    			స,n                           	-     
story100.txt	59   	భ్యులు                           	NN        	B-NP    			భ్యులు,unk                       	-     
story100.txt	60   	,                   	SYM       	I-NP    			&comma;,punc                  	-     
story100.txt	61   	చదరంగం                          	NN        	B-NP    			చదరంగం,n                        	-     
story100.txt	62   	క్రీడాకారులు         	NN        	B-NP    			క్రీడాకారుడు,n                      	-     
story100.txt	63   	,                   	SYM       	I-NP    			&comma;,punc                  	-     
story100.txt	64   	సోద                            	NN        	B-NP    			సోద,unk                        	-     
story100.txt	65   	రులు                            	NN        	B-NP    			రులు,unk                        	-     
story100.txt	66   	మ                             	NN        	B-NP    			మ,unk                         	-     
story100.txt	67   	రియు                            	NN        	B-NP    			రియు,unk                        	-     
story100.txt	68   	సోద                            	NN        	B-NP    			సోద,unk                        	-     
story100.txt	69   	రీమ                            	NN        	B-NP    			రీమ,unk                        	-     
story100.txt	70   	ణులు                            	NN        	B-NP    			ణులు,unk                        	-     
story100.txt	71   	.                   	SYM       	I-NP    			&dot;,punc                    	-     

story100.txt	0    	భారతదేశంలో         	NNP       	B-NP    			భారతదేశం,n                       	-     
story100.txt	1    	జరిగే                           	VM        	B-VGNF  			జరుగు,v                         	-     
story100.txt	2    	చెస్                            	NN        	B-NP    			చెస్,n                          	-     
story100.txt	3    	ఒలింపియాడ్                         	NN        	B-NP    			ఒలింపియాడ్,unk                     	-     
story100.txt	4    	కోసం                            	PSP       	I-NP    			కోసం,avy                        	-     
story100.txt	5    	మొదటి                           	NST       	B-NP    			మొదట,nst                       	-     
story100.txt	6    	టార్చ్                           	NN        	I-NP    			టార్చ్,n                         	-     
story100.txt	7    	రేస్                            	NN        	B-NP    			రేస్,n                          	-     
story100.txt	8    	ఈ                             	DEM       	B-NP    			ఈ,avy                         	-     
story100.txt	9    	రోజు                            	NN        	I-NP    			రోజు,n                          	-     
story100.txt	10   	జరుగుతుంది                         	VM        	B-VGF   			జరుగు,v                         	-     
story100.txt	11   	.                   	SYM       	I-VGF   			&dot;,punc                    	-     

story100.txt	0    	ఈ                             	DEM       	B-NP    			ఈ,avy                         	-     
story100.txt	1    	ఏడాది                           	NN        	I-NP    			ఏడాది,n                         	-     
story100.txt	2    	చెస్                            	NN        	B-NP    			చెస్,n                          	(1
story100.txt	3    	ఒలింపియాడ్                         	NN        	B-NP    			ఒలింపియాడ్,unk                     	1
story100.txt	4    	కు                             	PSP       	I-NP    			కు,avy                         	1)
story100.txt	5    	భారత్                           	NNP       	B-NP    			భారత్,n                         	-     
