#begin document (story100.txt); part 000
story100.txt	tok_No	Token			POS			Coreference
story100.txt	0    	ഗ്വാളിയോർ                              	N_NNP          	B-NP    			ഗ്വാളിയോർ,N                       	(5
story100.txt	1    	കോട്ടയിൽ                              	N_NNP          	I-NP    			കോട്ട,N                         	5)
story100.txt	2    	2022-ലെ                        	QT_QTC         	B-NP    			2022-ലെ,N                      	-     
story100.txt	3    	അന്താരാഷ്ട്ര                       	N_NNP          	B-NP    			അന്താരാഷ്ട്രം,N                     	(2
story100.txt	4    	യോഗ                                 	N_NNP          	I-NP    			യോഗ,N                          	2
story100.txt	5    	ദിനം                                 	N_NNP          	I-NP    			ദിനം,N                          	2)
story100.txt	6    	വ്യോമയാന                              	N_NN           	B-NP    			വ്യോമയാന,N                       	(4
story100.txt	7    	മന്ത്രാലയം                        	N_NN           	I-NP    			മന്ത്രാലയം,N                      	4)
story100.txt	8    	ആഘോഷിക്കും                              	V_VM_VF        	B-VGF   			ആഘോഷിക്ക്,V                       	-     
story100.txt	9    	.                   	RD_SYM         	I-VGF   			&dot;,punc                    	-     

story100.txt	0    	2022                	QT_QTC         	B-NP    			2022,num                      	-     
story100.txt	1    	ജൂൺ                                 	N_NNP          	I-NP    			ജൂൺ,N                          	-     
story100.txt	2    	21                  	QT_QTC         	I-NP    			21,num                        	-     
story100.txt	3    	ന്                                  	RD_SYM         	I-NP    			ന്,N                           	-     
story100.txt	4    	ഗ്വാളിയോർ                              	N_NNP          	B-NP    			ഗ്വാളിയോർ,N                       	(5
story100.txt	5    	കോട്ടയിൽ                              	N_NNP          	I-NP    			കോട്ട,N                         	5)
story100.txt	6    	2000-ത്തിലധികം                    	QT_QTC         	B-NP    			2000-ത്തിലധികം,N                  	-     
story100.txt	7    	ആളുകൾ                               	N_NN           	I-NP    			ആളുകൾ,N                        	-     
story100.txt	8    	യോഗ                                 	N_NN           	I-NP    			യോഗ,N                          	(1)
story100.txt	9    	ചെയ്ത്                                	V_VM_VNF_VBN   	B-VGNF  			ചെയ്ത്,V                         	-     
story100.txt	10   	സിവിൽ                                	N_NN           	B-NP    			സിവിൽ,N                         	(4
story100.txt	11   	ഏവിയേഷൻ                              	N_NN           	I-NP    			ഏവിയേഷൻ,N                       	4
story100.txt	12   	മന്ത്രാലയം                        	N_NN           	I-NP    			മന്ത്രാലയം,N                      	4)
story100.txt	13   	അന്താരാഷ്ട്ര                       	N_NNP          	B-NP    			അന്താരാഷ്ട്രം,N                     	(2
story100.txt	14   	യോഗ                                 	N_NNP          	I-NP    			യോഗ,N                          	2
story100.txt	15   	ദിനം                                 	N_NNP          	B-NP    			ദിനം,N                          	2)
story100.txt	16   	ആഘോഷിക്കും                              	V_VM_VF        	B-VGF   			ആഘോഷിക്ക്,V                       	-     
story100.txt	17   	.                   	RD_SYM         	I-VGF   			&dot;,punc                    	-     

story100.txt	0    	വ്യോമയാന                              	JJ             	B-NP    			വ്യോമയാന,ADJ                     	-     
story100.txt	1    	മന്ത്രി                               	N_NN           	I-NP    			മന്ത്രി,N                        	-     
story100.txt	2    	ജ്യോതിരാദിത്യ                       	N_NNP          	B-NP    			ജ്യോതിരാദിത്യ,N                     	-     
story100.txt	3    	സിന്ധ്യ                               	N_NNP          	I-NP    			സിന്ധ്യ,N                        	-     
story100.txt	4    	പരിപാടി                               	N_NN           	B-NP    			പരിപാടി,N                        	-     
story100.txt	5    	ഉദ്ഘാടനം                              	N_NN           	I-NP    			ഉദ്ഘാടനം,N                       	-     
story100.txt	6    	ചെയ്യും                                	V_VM_VF        	B-VGF   			ചെയ്യ്,V                         	-     
story100.txt	7    	.                   	RD_SYM         	I-VGF   			&dot;,punc                    	-     

story100.txt	0    	2014-ൽ                        	QT_QTC         	B-NP    			2014-ൽ,N                      	-     
story100.txt	1    	,                   	RD_SYM         	I-NP    			&comma;,punc                  	-     
